id,text,user,is_hateful,lat_long
0,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,user_15,0,"36.31055834788127,-2.8635134480594813"
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.,user_8,0,"51.15367049414181,-0.1210015239852833"
2,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,user_10,0,"53.40009972520029,8.114232912391039"
3,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,user_12,0,"45.042208703790834,-121.12160603252694"
4,eh les renois faut se réveiller la @url,user_1,0,"38.605993331043685,-110.71331688900517"
5,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,user_7,0,"-23.18328328886033,141.2329908700591"
6,@user sjw et féministe twitter un sale combo,user_4,0,"37.580077003164824,33.02984335839468"
7,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,user_1,0,"48.21897554375111,22.39563894824969"
8,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,user_13,0,"-30.755875958747644,130.16355380324967"
9,c'est un giga attardé mdrrr ils va vraiment se faire shoote @url,user_12,0,"46.916539537745294,-96.36451070452947"
10,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu'elle p… @url,user_15,0,"34.89661787277893,-104.06835691557345"
11,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,user_1,0,"43.99062674856347,-80.86957248210196"
12,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,user_8,0,"-3.3148200868890214,-47.47251265265254"
13,@user @user @user alors pas du tous toi tu es vraiment attardé,user_10,0,"37.80351886546047,148.99689732417627"
14,@user sale arabe ( arrête avec tes hontes toi ),user_14,0,"38.36233550231729,6.419878010562307"
15,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,user_4,0,"41.02857163809425,34.9014719866303"
16,@user ohhh la violence je meuuurs,user_9,0,"34.25642782932523,-67.13578978018822"
17,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,user_1,0,"8.443610981294924,-7.260129944350002"
18,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,user_6,0,"43.36082715272152,39.87868379008969"
19,glik tu es un gros mongol,user_3,0,"-21.54664674211645,38.465751805661064"
