,index,tweet_id,tweet_text
0,4700,966700543493189635,
1,4701,973810429683290112,"« Pour  les peines d'emprisonnement égales ou inférieures à cinq ans, #Macron et #Belloubet ont formé le projet d'aller plus loin dans la mansuétude que Christiane Taubira pourtant difficilement dépassable sur ce plan. » https://t.co/jcXvInnEN0"
2,4702,973695219479724032,Christiane Taubira revient : le cauchemar ! https://t.co/zMv6xMvciw
3,4703,973576768387985410,"Réforme pénale : Vous avez aimé les mesures de Christiane Taubira ? Vous adorerez celles d’Emmanuel Macron.
https://t.co/0jL5jAEH2x"
4,4704,968418495326277632,"[Le “poing final” de Patrice Quarteron] Affaire Menel : “Chère Christiane Taubira, on ne peut pas toujours justifier des actes immoraux par les errements du passé” &gt;&gt; https://t.co/CFMsXEguw6 https://t.co/0Fffp64Bpg"
5,4705,951778485864976384,
6,4706,951776176405733376,
7,4707,951769061171646464,"Face au sexisme, prenons de la hauteur. Notre plus belle arme reste et restera notre rire.
Le rire est cruel. Il n'épargne rien, ni personne.
Rire ce n'est pas abdiquer. #1pbdégo #sexisme"
8,4708,951797448166510592,#VendrediLecture #sexisme l'article de @titiou sur les femmes que les hommes ont fait disparaître en littérature https://t.co/7OHF8m2GD2
9,4709,951772481114853376,"[Communiqué CIDFF 37]  

""Ce qui nous anime en tant que féministes, ce n’est point une haine des hommes mais une haine des « porcs » et de cette société patriarcale qui perpétuent ces comportements violents et rétrogrades à l’égard des femmes."" #TribuneDuMonde #Sexisme #Tours https://t.co/pIXAtWDIQT"
10,4710,951778488306069504,
11,4711,970822848867643392,
12,4712,970783496967999488,
13,4713,970796351847051264,
14,4714,970782121982877697,"🎧J'nai pas la mémoire qui flanche, j'm souviens très très bien...🎧
Trangeneracional #Metoo #BalanceTonPorc #Sororidad https://t.co/4UE6nM8EmW"
15,4715,971024350198427649,
16,4716,974272770270998529,
17,4717,972269000737591303,
18,4718,974373732931244038,
19,4719,974270338489049088,
20,4720,973952576906518529,"Mes dépliants antisexistes ont été nominés par @lesfameuses dans la catégorie ""Action"" pour le prix de l'égalité femmes-hommes. Ils sont en lice face à 2 actions d'envergure (l'appel du 18 décembre et #balancetonporc). 
https://t.co/HNkguhqTls"
21,4721,974415398945939456,"- Brieuc me décrotte le nez en soirée
- Astrid est choquée
- Brieuc : « Astrid on sera médecins faut pas être dégoûtés par ça »

#BalanceTonPorc"
22,4722,971148869064159232,
23,4723,970673092841353218,"L'Atelier RH vous présente un article sur le harcèlement au travail
https://t.co/ayZlv2nEO9 

#atelierrh #atelierrh12 #igs #lyon #balancetonporc #RH #harcelementautravail #comportementabusif #igslyon"
24,4724,970999945405849601,
25,4725,970678358387372032,
26,4726,970675225632411648,
27,4727,970668982821965825,
28,4728,970986476438720513,
29,4729,937288616568590337,
30,4730,937286267401920512,
31,4731,949350272647692288,
32,4732,949307851566133250,
33,4733,949334054272413696,
34,4734,949339239333888000,
35,4735,949338828535488512,
36,4736,949323627585064960,
37,4737,382924160332472320,
38,4738,383256026163605505,
39,4739,379673698409930752,
40,4740,378396946270265344,
41,4741,380079245030342656,
42,4742,382915242562715649,
43,4743,377826080637599744,
44,4744,376224012126679040,
45,4745,378511071512117248,
46,4746,379989224415457280,
47,4747,944202206001197057,
48,4748,940502268704673792,"#Tron
Quand tu prends #DupontMoretti pour te défendre c'est quasiment un aveu de culpabilité..
#balancetonporc"
49,4749,944121294265647104,
50,4750,944023405497602048,
51,4751,958440423449595904,"Bref, le corps d'une femme, exposé ou non exposé au monde, restera une pure merveille de la nature."
52,4752,958443305037189122,
53,4753,958451120728428544,Il leur a fallu 3 mois j'ai mis 3 mn à dire que cétait lui qui l'avait tué. Aucun mari ne sait comment sa femme est habillée #JonathannDaval
54,4754,953827224750297088,
55,4755,953882023139201024,
56,4756,953928470345797632,
57,4757,953920344213147649,
58,4758,953777225609785345,
59,4759,953806723046887425,
60,4760,953979825831792640,"@digbyturtle @audrenlerioual Tiens d'ailleurs, hier on a regardé le #tlmep sur #moiaussi et Pierre était choqué. À la fin de la séquence, non seulement les pour et contre ne s'étaient pas gueulé dessus, mais s'étaient même mis d'accord sur plusieurs points..."
61,4761,953837869868703745,
62,4762,943479594065199104,C'est quitté de #RendsLes2500 à #BalanceTonPorc .
63,4763,943490754575519745,
64,4764,943479899502850048,
65,4765,943481633310695424,
66,4766,943490754575519745,BalanceTonPorc : la libération de la parole sous caution médiatique | Pauline Perrenot https://t.co/cvFLsYbxnk
67,4767,943483092064403456,
68,4768,943475563058036736,
69,4769,944850126572609536,
70,4770,945610218364424192,
71,4771,944989287812091905,
72,4772,945051669582229510,
73,4773,944689163852484614,
74,4774,959394605912526851,
75,4775,959383811523072000,
76,4776,914587566229336064,"#dossiertabou parle du #sexisme dans la rue, au boulot, à l'école...et #payetashnek y voit du racisme et de l'islamophobie ! Pitoyable! 😤 https://t.co/VpLNFqbg9t"
77,4777,914739046173364224,
78,4778,914737012938362880,
79,4779,901075233834229760,"Merci snappechatte &amp; ses filtres merveilleux. J'ai enfin ma place sur https://t.co/LEYU9rsrvS 
#snapchat #filtre #enrut #payetashnek https://t.co/mohcfI4P22"
80,4780,959166486572134400,
81,4781,959101117593538562,"Qu'est-ce-qui est blanc et qui a assassiné sa femme ? 

Jonathan..."
82,4782,959088393287294976,"– Je ne comprends pas qu'un amour puisse finir...
– Oui, cela semble jeter le discrédit sur toute l'institution.

Romain Gary, Clair de femme."
83,4783,959118718117863425,"DEUX MILLE NEUF CENT SOIXANTE-DIX.
Depuis 2970 jours #asiabibi pourrit en prison, condamnée à mort au #Pakistan en raison de sa foi Chrétienne. Une pensée,une prière pour cette femme courageusement exemplaire ce n’est sans doute pas de trop. https://t.co/X9vKXK6scZ"
84,4784,959149364563279872,"🎥 'Le journal d'une femme de chambre' (Luis Buñuel, 1964). https://t.co/N7BIiwk2U6"
