labels,text
1,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.
1,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url
0,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !
0,eh les renois faut se réveiller la @url
1,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url
0,@user sjw et féministe twitter un sale combo
0,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url
1,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url
1,c'est un giga attardé mdrrr ils va vraiment se faire shoote @url
1,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu'elle p… @url
0,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé
1,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url
1,@user @user @user alors pas du tous toi tu es vraiment attardé
1,@user sale arabe ( arrête avec tes hontes toi )
1,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur
0,@user ohhh la violence je meuuurs
1,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url
1,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url
1,glik tu es un gros mongol
1,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient
1,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url
1,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url
1,@user t'a vu gl dirait un attardé...
1,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url
1,@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés
1,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url
1,@user tu te crois intelligent avec ta réflexion facebook d'attardé ?
1,rt @user c'est con un gauchiste quand meme !!! @url
1,shoutout les daronnes rebeus avec leurs fils adorés @url
0,@user @user l'empire mongol
0,@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l'avortement. el… @url
0,@user pour ou contre l'avortement ?
1,bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url
1,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url
0,@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.
0,quand je sors de chez le coiffeur j'suis vraiment le plus beau de tous les rebeus
1,@user @user @user @user @user @user @user la vraie violence c'est de force… @url
1,mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url
1,peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pir… @url
1,@user t'es surtout un attardé
0,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @url
0,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url
1,@user quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi… @url
1,ces dames arabes toujours à se plaindre @url
1,@user @user l'état civil chez les renois c'est en option aussi.
1,@user @user @user halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole… @url
1,@user dirait un gauchiste qui chouine source ?
1,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead
