comment_text,toxic,lang
personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,1,fr
bah oui t'as raison l'autre c'est un mongol.,1,fr
moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat…,1,fr
c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,0,fr
eh les renois faut se réveiller la,0,fr
en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision…,1,fr
sjw et féministe twitter un sale combo,0,fr
tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani...,0,fr
mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to…,1,fr
c’est un giga attardé mdrrr ils va vraiment se faire shoote,1,fr
4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p…,1,fr
dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,0,fr
nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu…,0,fr
alors pas du tous toi tu es vraiment attardé,1,fr
sale arabe ( arrête avec tes hontes toi ),1,fr
le « sale juif » mis en avant contrairement aux autres mdr,1,fr
ohhh la violence je meuuurs,0,fr
au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste.,0,fr
ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée…,1,fr
glik tu es un gros mongol,1,fr
quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,1,fr
arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi…,1,fr
irl une gauchiste bobo anti-raciste : « quand je lis ou de part leurs provocations i…,1,fr
t’a vu gl dirait un attardé...,1,fr
forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati…,1,fr
donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,1,fr
les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten…,1,fr
tu te crois intelligent avec ta réflexion facebook d'attardé ?,1,fr
c'est con un gauchiste quand meme !!!,1,fr
shoutout les daronnes rebeus avec leurs fils adorés,1,fr
l'empire mongol,0,fr
et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el…,0,fr
pour ou contre l'avortement ?,0,fr
bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai…,1,fr
leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl…,1,fr
d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,0,fr
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,0,fr
la vraie violence c’est de force…,1,fr
mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention,1,fr
