"full_text","id"
"Christiane Taubira, Jean-Vincent Placé, François Fillon... Qui a été le plus applaudi ou hué au meeting de Bercy de Benoît Hamon ? https://t.co/fY2vF2OUj5","843895613414658049"
"La claque d'Angela Merkel à Emmanuel Macron ⬇️
 https://t.co/52nafjdssd","985958665181122560"
"Christiane Taubira est devenue l'héroïne de cette gauche qui s'auto-célèbre dans des postures faciles et dégoulinantes de bons sentiments.","843472287269437443"
"Mouvements sociaux en #Guyane, Christiane Taubira s'est rendue à la rencontre des personnes mobilisées à Kourou. https://t.co/uxLfgxRUkF","845227173493510144"
"@stephaneguillon Tout le monde n'a pas le talent de Coluche ou de Desproges, talent qui permet de faire passer bien des ""choses"". Qui a dit ""on peut rire de tout mais pas avec n'importe qui""? Desproges, à une époque où le #balancetonporc n'avait pas encore révélé l'étendue de  l'ignoble...","941740111615680513"
"Coca, L’Oréal, Danone, Bel... Ces 28 marques s’engagent contre le #sexisme dans la #publicité
https://t.co/ErZlYrwkk3 via @LSAconsommation","953592051106484224"
"""Tout le monde pense qu'il ne s'agit que d'Hollywood. Ce n'est pas juste Hollywood. C'est le monde."" - Rose Mcgowan, actrice, activiste et victime.

#MeToo #balancetonporc https://t.co/sKK83IMeUx","938460800125227016"
"#balancetonporc voil j'lai fais","939547282374045696"
"Il y a un an, Le Canard révélait l’affaire Penelope Fillon. J’ai l’impression que 40 années sont passées depuis.","956433229212536832"
"Et si, le 25 janvier 2017, le Canard Enchaîné n'avait pas sorti l'affaire Penelope Fillon ? https://t.co/Nra0rG1geE","956434955197976576"
"Béji Caid Essebsi: ""Moi aussi, à mon âge, je me considère comme un homme d'avenir"" https://t.co/qyLDn2nG5r https://t.co/8mK7U45ape","959048717373464581"
"@AnnieGuilberteau et @CatherineLadousse, coprésidentes d’#EnsembleContreLeSexisme présentent cette journée… L’objectif ? #Identifier chaque manifestation de sexisme et #Préconiser des actions fédératrices pour lutter contre ce fléau #25janvier https://t.co/uEBG6c1nRH","956446742194655232"
"Flash: Démission de Bruno Le Roux, Jean-François Copé estime que ""ce n'est pas assez et demande la démission de Christiane Taubira"".","844242326780350464"
"François Fillon a fait huer Christiane Taubira à Pertuis, dans le Vaucluse IL EST PITOYABLE https://t.co/H1y6bwOIPj https://t.co/iFS0cM89iy","842479739336101889"
"Christiane Taubira, très offensive sur le FN : ""je maintiens que ce sont des ennemis de la démocratie et de la République"" #8h30aphatie https://t.co/HHMP9pLMbS","843730368893259778"
"Angela Merkel pour la 5 e fois femme la plus puissante du monde http://t.co/aYfuMO1A","238306891330117633"
"La revue de presse des Amériques - A la Une : Angela Merkel, la femme la plus puissante du monde http://t.co/yiLwpg8m","238693945717186561"
"Angela Merkel, femme la plus puissante du monde depuis trois ans http://t.co/m3zebOdTLD #AFP @forbes #femme #société #people #médias","337179846851584002"
"D'après le magazine Forbes la femme la plus puissante du monde est  Angela Merkel.
Putain je suis déçu par Wonder Woman.","238675109961945088"
"Angela Merkel toujours la femme la plus puissante du monde selon Forbes http://t.co/cuSxEhpZW7 [par Brigitte Dusseau] #AFP","337266804353286144"
