i
t,w,e,e,t,_,i,d
f,u,l,l,_,t,e,x,t
i,tweet_id,full_text
87,966020955742048257,
88,987033694488670208,
89,987054871282114561,
90,987035741250379784,
91,987078666587967490,
92,987040765456117762,
93,987059153016377344,
94,987068681103519745,
95,942459977758801922,"Bravo les Bleues ! 👏 👏 

C'est mérité !!! 🏆🥇 

Bien joué aux Norvégiennes ! 🥈Beau match ! 
#Germany2017 #FRANOR #Handball #BleuetFier 🇫🇷🤾‍♀️"
96,942461479126732800,
97,942464994586910720,"Un match haletant, une victoire sublime. Bravo aux Bleues pour cette magnifique performance. 👏🇫🇷#FRANOR"
98,942462485805830144,
99,942461471572840454,"Non !@DenisBrogniart, la victoire des Bleues n'a rien à voir avec la diffusion du match en direct sur #TF1. Sans doute avez vous confondu avec la finale d'une émission de téléréalité qui s'appelle koh Lanta ! https://t.co/es1VoeMhKr"
100,942463089332584448,Fier de nos Bleues qui nous ont fait vibrer tout le long de ce beau match. Quel stress jusqu’à la dernière minute... mais quelle magnifique victoire ! #FRANOR 🥇🏆🇫🇷🤾‍♀️
101,942462039783608320,Une émotion intense et chaleureuse dans les gradins pour celebrer la victoire des Bleues ! Un match #FRANOR rempli d'#Energie grâce à l'équipe féminine de @FRAHandball ! 🥇🇫🇷 CHAMPIONNE DU MONDE ! ENCORE BRAVO 👏 https://t.co/SwX9bojZYf
102,942464576301477889,"Quel match!!!...Elles l’ont fait!!!! 👊🏻👌🏻🥇🏆 
le kiffe😍😍😍!!!!
#Championnesdumonde!!! 🎉🎉#FRANOR 
Merci les bleues!!😉 @EspritHandball https://t.co/2gF2cQiXx7"
103,942461109835059200,
104,942462871774121990,
105,981029022665723904,"La roue tourne, et Matteo Renzi, nec plus ultra de la mondialisation heureuse vient d’en faire les frais. Pour Angela Merkel « le coup passa si près que le chapeau tomba ». Les mêmes causes produisant les mêmes effets, #Macron en continuant sur le même chemin subira le même sort https://t.co/OpsgO1UmFX"
106,980602602873290753,
107,981208696142299136,"Allemagne : « Non, l’islam n’a pas sa place en Allemagne » martèle le nouveau ministre de l’Intérieur, critique d’Angela Merkel https://t.co/nAy5xJZBmm via @On retombe les 2 pieds sur terre en Allemagne mais en France, on a toujours collaboré parce que c'était plus facile...."
108,981255128954163201,"quand marine le pen a dit à angela merkel ""merci madame merkel de nous faire le plaisir de venir avec votre vice-chancelier administrateur de la province France"" en parlant d'hollande j'ai faillis faire un avc 😭 la condescendance de cette femme est incroyable"
109,981217530843975681,"#MarianoRajoy tweete en espagnol 
#TheresaMay tweete en anglais 
#AngelaMerkel ignore Twitter 

Bref #jdcjdr … nous #Macron depuis 5 jours c’est en anglais ou en allemand 🙄"
110,980820179293818881,"#JeSoutiensLaGrèveDesCheminots car je refuse qu’un énarque millionnaire détruise le statut des cheminots créé en 1920, juste pour faire des courbettes devant Angela Merkel. #MonTrainJYTiens"
111,981170399856664576,Angela Merkel lâche Emmanuel Macron sur son projet de budget de la zone euro https://t.co/PkueYdxD7n https://t.co/vBuNT4ajfT
112,980908538687082496,
113,980488393409875968,Un comité qui conseille Angela Merkel avertit des risques d’une extradition de Carles Puigdemont @KRLS qui impliquerait un engagement à côté du gouvernement Rajoy au lieu d’une invitation à négocier. https://t.co/PfZwDh970Q
114,981266355159752704,"@MERLINCLUBHOUSE @mualni @macron @fhollande Le problème, c'est Macron. En voulant passer en force comme à son habitude, il a sous-estimé les capacités de nuisance d'Angela Merkel."
115,935202872387567620,"Retrouvez toutes les infos sur la page de l'événement « Le mouvement #moiaussi : Dénonciation, libération, réparation ? » https://t.co/KSAW821pZ5"
116,935260444444545034,@RiMartineau Après la blague de mononcle faite par Jean Charest  ... il n’y a pas eu beaucoup de « #moiaussi » de la part de ses amis
117,935233591390425088,
118,935366353913032705,"«Le mouvement #MoiAussi instaure des procès populaires et des purges» 
est à 2017 ce que
«La rue ne peut pas décider à la place des urnes» 
est à 2012."
119,935270786847387651,#AgressionsSexuelles : @PoliceGatineau emboîte le pas au @SPVQ et @SPVM #moiaussi https://t.co/NsWOWscjau
120,958237108539416576,"[🆕 PORTRAIT 🙌🏽✨] Féministe décoloniale, Founé est une jeune 🚺 inspirante qui nous livre dans cet article son parcours et les difficultés qu’elle a subies en tant que femme noire, musulmane vivant dans un quartier populaire 📣👩🏿💪🏿✍🏿
🔛 https://t.co/DOhmwOpdvm https://t.co/QRutO8026q"
121,953453299029561344,
122,953445278681415680,
123,953439468228399104,
124,953436028492279813,"Catherine Deneuve présente ses ""excuses"" aux victimes et désavoue certaines cosignataires de la tribune polémique https://t.co/3TJ0RTNa8a"
125,953412485947805696,
126,953485791107301376,
127,953423337375531008,Catherine Deneuve s’excuse face au victimes d’harcèlement  sexuel !  https://t.co/A0JgJaej7o
128,953444437807509506,
129,955360334189088768,
130,955370913788317696,C'était attendu. On évoque #BalanceTonPorc et #TimesUp avec les jeunes venus à leur journée citoyenneté https://t.co/g6r7HPWUlw
131,950737329999753216,Les jumelles Estelle et Delphine Cascarino convoquées par Corinne Diacre pour le match amical contre l'Italie au Vélodrome le 20/01. #Bleues #France2019 https://t.co/37Tlmhhlli
132,950763790731218945,"Bravo @Vivi_Asseyi pour ta nouvelle sélection avec les Bleues, et qui plus est pour un match au Vélodrome (20/01 vs Italie) devant tes supporters ! 👏⚽️ #Bleues #EdF #OM #TeamOM"
133,949720407136980992,Match de hockey féminin à 16 h aujourd’hui à l’arena J.-Louis-Levesque alors que les Aigles Bleues accueillent DAL. Venez encourager notre équipe!  #goaiglesgo #aiglesbleues #universitedemoncton
134,951578180149825538,
135,951024420356751360,Trés heureuse de retrouver l'équipe de France en préparation du match contre l'Italie #FFF #Bleues #Marseille #Italie @equipedefrance https://t.co/OXe3faDBRp
136,949953823023468545,
137,950759419683491842,"🤾♀️ #HandAction 
🏆 Coupe du Monde 
🇫🇷 Découvrez le film Les Portes du Paradis vendredi en intégralité après le match entre la France et la Norvège sur beIN SPORTS 3 à 22H30 !
💫 Retour sur le titre des Bleues au Mondial allemand https://t.co/HeGryk72S4"
138,951894785190658050,
139,949555086551928832,#football Bienvenue à l'équipe @fff #féminin en stage de préparation à #Montpellier du 15 au 19 janvier avant un match amical contre l’Italie le 20 janvier à Marseille. Les Bleues s'entraineront à Grammont et en public mardi 16 et mercredi 17 à 16 h 30 @Saurel_P @MillagouJerome
140,950706128433926144,"Retour sur le cocktail d’après match suite à la victoire de nos bleues face à Yutz. Match parrainé par le Cabinet Manneville, la société GPS et la CRAM.
https://t.co/Dc6NPjYuJP https://t.co/5io49G15gV"
141,942410900471939073,@InfoRoubaix Si tous ceux qui ont #Retwet donnait 1 euro il pourrait déjà aller à l'hôtel ! Soyez sincères et ouvrez une cagnotte pour Jeje041075@hotmail.fr . #moiaussi
142,942336743390490626,
143,942397105506799616,[OPINION] Semaine féministe? (@M_Desjardins) #JDQ #moiaussi #polqc #assnat https://t.co/GfJ8lIlVKj
144,942460962908536832,
145,991979470398611456,
146,991460744343490560,
147,991338895047643136,Mettez j’aime si vous pensez que je suis une connasse et retweetez si vous pensez que je suis une bonnasse. J’attends vos avis!
148,988395428298227713,"Infamie
#Migrants
#Alpes

Cette connasse qui était hier avec ses amis dans les Alpes s'est déjà vue interdite de territoire pour racisme en Angleterre. Dis @Twitter Comment des comptes certifiés peuvent ils relayer cette haine? + @BrittPettibone 

https://t.co/6z70rRDCxh"
149,942113078946287618,"Projet poignant !
Un ensemble de vidéastes a créé une chaîne ⛓ de témoignages #MeToo et relaiera chaque semaine le récit anonyme d'une #femme. https://t.co/flvacevw1f

#Ellesaussi #moiaussi #violence #agression #solidarité 
#entraide #information #Nice06"
150,942051660997767168,#METOO - La Suède ébranlée par la tempête #lapresseplus #moiaussi  https://t.co/eLEFEDM9cK
151,950285799374966784,"Un discours historique .... et puissant! 
Pour les #moiaussi de ce monde et nous tous! https://t.co/dL0XoQ9oqr"
152,950208267992608768,Le mouvement #metoo #moiaussi devrait s'étendre à tous les agresseurs comme la vilaine qui te rend la vie impossible au boulot. #GoldenGlobes
153,950173442581639168,"Les mots de l'année (2/6): «#MoiAussi, #MeToo», un mot-clic pour balancer son porc #GoldenGlobes https://t.co/sCJRg0jGKk"
154,950322481348390913,
155,950209000313966597,Le discours de @RWitherspoon est extraordinaire et porteur d’espoir🌹 Pour les victimes. Bravo 🖤 #victimes #TIMESUP #goldenglobes #metoo  #moiaussi
156,967861773142495232,
157,968362008621015042,
158,968259733739188224,"#AuroreGerbé 🤮
Elle va nous jouer ce rôle combien de temps @auroreberge ?

Pendant ce temps on ne parle pas des vrais sujets : la chasse aux pauvres et aux migrants, l'engraissement de l'oligarchie, la casse du service public ferroviaire &amp; co !
 https://t.co/AShzEjGwwA"
159,955140850065035266,
160,955143628632010752,
161,955148959403651074,@lesterriens @RaquelGarridoFr @jeremstar Mdrr #balancetonporc s est fais sur le net.. on vous as pas entendu dire «cela dois pas se faire en ligne » blabla.. lui il balance h24 sur des personnes sur twitter .. alors faut assumer le retour de baton.
162,955141942609838082,
163,955151376211988482,"Cette femme a su donnée une dimension nouvelle à la femme en créant un #balancetonporc.

Grâce à cet hastag... https://t.co/mZy29ldzXf"
164,391308603417980928,"« Paye ta shnek, les tentatives de séduction en milieu urbain » http://t.co/X28LMgfiej #payetashnek #tumblr"
165,955348683553374208,"#balancetonporc    #metoo    Il va s'en tirer par un non lieu, par classement des plaintes, par des ""vices de... https://t.co/OhIYNa0ZQo"
166,955344384794513410,
167,521407939949899776,
168,512125960884604928,
169,526863080169680896,@LegendFlo @Perrine_Bch parce que bordel ma vie est géniale pourquoi m'emmerder avec une fille :o #ironie
170,530716191342735360,
171,529481202101936128,
172,517042580333555712,
173,523900790998859776,Je suis une fille qui s'est se décider xDD #Ironie #Lts
174,520576591643295745,"Vous savez ce que Léa a fait ce midi , il a re pendu mon écharpe en l'air HAHAHA mais qu'elle est drôle cette fille #ironie"
175,508692253884579840,
176,536971160714743808,"Super journée pour commencer la semaine, quoi de mieux que de se retrouver sur la même table, à midi, qu'une fille qu'on déteste ? #ironie"
177,933770876872548353,"""Elle est toujours là"", ""En pôle position""…
Extraits du gros doss' de Paris Match sur le ""come-back"" de Ségolène Royal : ❄
#Quotidien https://t.co/RhostR0DSq"
178,933719129193897984,"Nicolas Hulot n'en peut plus que Ségolène Royal se mêle de son ministère : ""Ambassadrice chargée des pôles Sud et Nord n'est visiblement pas un job à plein temps si j'en juge par le temps qu'elle consacre à s'occuper de politique."" https://t.co/24VfPOWnXU https://t.co/QpLcAMcYhR"
179,933931846823489536,"Avec le salaire et les frais dépensés pour envoyer Ségolène #Royal faire de la luge,
on pourrait dédoubler facilement 15 classes de CP c'est-à-dire donner vraiment leur chance à plus de 200  enfants défavorisés.
#socialisme https://t.co/DsjWHLHn5q"
180,933318925810585600,Ils croyaient s'en débarrasser en l'expédiant dans les Pôles. Raté : #SegoleneRoyal est toujours là! Reportage avec l'insubmersible en Laponie... @ParisMatch  https://t.co/UICJI8HZkC
181,941983481067921413,"@PerrineST Dans  90%  des cas de licenciement le motif présenté n'est  jamais le vrai motif de licenciement. @Francetele voulait se séparer de lui , l'ouverture fut parfaite... ( balancetonporc etc...)"
182,941986123777282048,
183,941984777300791296,
184,320616703782428672,Je croyais que mon voisin voulait encore faire peur à sa femme en donnant un coup de fusil mais non c un feux d'artifice hahaha #Ironie
185,322192024793137153,
186,320262614276009984,
187,321330049439637504,Margaret Thatcher ... ou la femme la plus aimé (#Ironie) est morte aujourd'hui
188,957575390247182336,Donc la femme qui accuse Darmanin de viol lui avait demandé de l’aider à faire disparaître de son casier une condamnation pour chantage contre son ex compagnon...
189,957561351420948480,"La femme qui accuse de viol Darmanin ""ira jusqu'au bout"", assure son avocate. https://t.co/VvQ9OYCO7m"
190,957586755326267392,La femme qui accuse Gérald Darmanin de viol nie vouloir lui nuire https://t.co/aRV7KXjNe4 https://t.co/W5wl4MTW6r
191,957594062579732480,
192,957566125507842048,
193,957600345194205184,"Affaire Darmanin : la plaignante n'a pas d'""intention"" de nuire Sophie Spatz a porté plainte pour viol contre le ministre. Il conteste les faits, qui dateraient de 2009, et a déposé une plainte pour dénonciation calomnieuse. Sophie Spatz, la femme qui... https://t.co/goCmUDT5K8 https://t.co/WX0T7iVNSU"
194,883330834492784641,Aller sur la conversation pr voir une version en français de cette infographie. Merci pr ce rappel @venenifere #blague #sexiste https://t.co/rCuirReAvk
195,884417005020958720,"#genderscan2017 enquête sur l'(absence d')égalité #femmes hommes =&gt; 18 juillet
#France #sexiste 
https://t.co/nYe59awAva"
196,823529519843831811,
197,822460301333430272,
198,822459132741648384,
199,822480219168710657,
200,872717971910688768,Brigitte #Macron et la litanie #sexiste des #médias  - Acrimed | Action Critique Médias https://t.co/PzIrgIvPta
